team,conf,games,wins,losses,adj_t,adj_o,adj_d,barthag,efg,def_efg,ftr,def_ftr,oreb_rate,dreb_rate,tov_rate,def_tov_rate,two_pt_pct,three_pt_pct,ft_pct,def_two_pt_pct,def_three_pt_pct,def_ft_pct,three_fg_rate,def_three_fg_rate,block_rate,block_rate_allowed,assist_rate,def_assist_rate,wab,year
Houston,B12,38,34,4,62.1,124.98582642814,87.06179055225,0.98460496953574,52.3,44.8,27.4,33.8,36.8,28.7,14.2,21.2,48.4,39.7,74.1,44.5,30.1,71.3,34.6,43.7,15.7,6.7,45.7,57.7,11.587303020872,2025
Duke,ACC,38,35,3,66.4,128.79836267711,91.162374651405,0.98155721835521,58.2,44.4,32.6,24.9,34.1,26.7,14,17.1,58.5,38.6,79,43.3,30.8,72.7,44.9,38.4,10.9,9.2,58.5,50.6,9.4281406832552,2025
Auburn,SEC,37,32,5,68.7,128.55396723154,92.702134103493,0.97724625573065,55.1,45.8,33.8,38.2,34.4,29.5,13.5,17.2,55.7,36.1,72.8,46.6,29.6,73.1,40.7,35.2,15.9,7.7,55.2,40.7,12.712432060903,2025
Florida,SEC,38,34,4,70.2,127.45530761847,94.456236016904,0.96910370398695,55.1,45.5,34.3,32.7,38.9,29,15.5,16.6,56.2,35.7,72.7,46.2,29.6,71.3,43.8,37.1,11.7,8.4,52.6,45.8,11.182109342932,2025
Alabama,SEC,37,28,9,75.5,127.10096571418,96.173950783257,0.96107692636778,56.6,47.8,39.3,33.2,33.7,29.4,16.6,13.5,59.7,35.3,72,49,30.4,71,46.6,34.6,10.1,12.1,55.4,44.8,10.100515689896,2025
Tennessee,SEC,38,30,8,64.4,119.13373904015,90.66701991734,0.95851725577849,52.5,45,35.5,28.2,35.6,30.3,16.1,17.7,54,33.8,74.5,46.6,28.7,73.9,43.4,44.6,15.1,9.2,60.6,47,9.3380249851398,2025
Texas Tech,B12,37,28,9,66.6,125.52485794737,97.148540718424,0.95012248167575,54.7,48.1,29.2,33.4,34.2,28.3,14.2,17.1,54.5,36.7,76,47.9,32.4,71.3,44.5,34.6,8.3,7.9,57.2,46.3,5.8767611180175,2025
Iowa St.,B12,35,25,10,69.3,119.50642761319,93.006712538066,0.94700127709968,54.9,48.9,37.9,29,32.2,27.9,17,21.6,55.5,35.8,75.3,47.8,33.6,75,36.8,40.9,10.1,8.9,53.4,55.6,5.4824462170276,2025
Gonzaga,WCC,35,26,9,71,124.30706440389,96.775905155249,0.94680370194314,56,47.5,30.7,29.3,32.5,26.9,13.4,18,57.5,35.4,80.4,48.9,30.2,72.9,33.6,40.2,8.3,8.2,62.4,49.3,2.7666617618409,2025
Arizona,B12,37,24,13,70.8,124.03213912191,96.682939705256,0.94607324221428,53.3,48.9,35.8,29.8,36,27.9,16,16.2,54.7,33.8,78,47.5,34,71.7,34.7,41.3,12.1,7.1,55.6,51.9,5.4703731444128,2025
Maryland,B10,36,27,9,70.2,118.36513067838,92.346594218276,0.94555553851002,53.6,47.1,33.1,26.1,30.7,28.2,14.3,20.1,52.2,37.3,75,47.8,30.6,73.7,35.4,36.2,11.8,6.8,49.1,49.2,4.9169732932085,2025
Purdue,B10,36,24,12,65.7,124.66265667421,98.622059679168,0.93670952202189,55.9,51.8,34.6,30.1,31.8,29.7,15.7,17.5,55.1,38.2,73.2,55.6,31.2,71.6,38.4,42.6,5.1,8.5,58.3,58,4.7052878268013,2025
Michigan St.,B10,37,30,7,68.1,116.97147977385,92.556749735451,0.93656742689736,50.9,46.2,37.7,31.5,35.3,24.7,16.4,15.9,53,31.1,77.9,49.1,28,71.4,32.9,40.7,13.2,8,61.1,52.6,8.2740366009312,2025
Wisconsin,B10,37,27,10,68.3,122.66472280082,97.144196444457,0.93598435272354,53.8,48.1,34.2,27.7,28,26.7,14,14.5,55.2,34.8,82.6,46.9,33.3,72.9,48.2,39.1,6.3,10.7,54.2,49.9,6.3467115138611,2025
BYU,B12,36,26,10,68.1,125.27853100026,99.65537691551,0.93285825521454,57,51.4,30.4,29.4,33.7,26.4,17.4,16.9,58.6,36.8,71.3,49.6,35.7,71.5,47.6,46.2,10,8.3,59.6,53,4.8554011991027,2025
Illinois,B10,35,22,13,72,121.75758974309,96.940605267727,0.93221589351015,52.4,47.4,34.4,26.9,35.8,25.8,16,12.4,57.3,31.3,76.2,46.1,33.6,70.9,47.2,30.5,9.2,8.7,51.7,45.9,3.7585096788141,2025
Kentucky,SEC,36,24,12,71.3,123.67799954055,98.501704125128,0.93197856608709,55.9,50.3,35.2,30.6,28.2,26.4,15,14.1,55.6,37.5,73.1,53.9,30.5,71.7,41.2,43.7,11.4,8,57,47,5.6379046924395,2025
St. John's,BE,36,31,5,70.5,112.87490492122,89.903898256322,0.93192846800629,49.2,45.9,30.3,30.7,37.9,29.8,15.3,21.4,51,30.1,69.1,46,30.6,67,31,40.8,14.9,8.3,53.6,55.3,8.0283009104272,2025
Kansas,B12,34,21,13,69.1,115.87399344749,92.717885767216,0.92849730388009,53.1,46.3,24.4,28.1,30.5,27.6,16.9,15.6,53,35.4,71.6,46.3,30.8,73.1,34.1,40.6,12.9,9.1,61.2,52.6,4.2003055142585,2025
Texas A&M,SEC,34,23,11,67.2,115.98330711928,93.290629411025,0.92441169830389,47.6,48.3,41.3,35.7,41.4,28,17.8,19.4,48.6,30.7,69.2,46.8,33.3,76.8,37.7,46.2,13.5,14.4,47.4,64.7,5.4109720841473,2025
UCLA,B10,34,23,11,65.6,116.74846778477,93.98420090877,0.92374079785237,52.8,50.1,32.3,33.9,32.7,29.8,15.9,22.8,52.8,35.2,71,50.7,32.8,75.1,36.5,45,11,7,61.1,58,3.6490923675054,2025
Missouri,SEC,34,22,12,69.1,124.82156183208,100.64347478278,0.92243926777276,55.8,50.9,47.1,35.7,33.5,32.3,15.5,20.1,56.3,36.7,73,51.2,33.6,75.3,41.4,37.8,7.3,10.5,49.7,49,3.237951870779,2025
Michigan,B10,37,27,10,70.5,116.40720258024,93.959016072069,0.92155833250546,53.8,46.1,35.7,28.4,33.2,30.2,19.6,15.8,56.7,33.2,72.8,46,30.8,73.1,42,39.1,9.5,7.4,58,45.1,6.6332454320252,2025
Mississippi,SEC,36,24,12,68.5,118.33045562188,96.140521987942,0.9159236992038,51.4,50.5,35.3,39.3,25.5,30.4,12.9,20.2,51,34.8,73.8,51.8,32.5,70.8,40,43.5,11.8,10.9,53.2,58,4.9584465750776,2025
Louisville,ACC,35,27,8,69.6,117.74717559539,95.884002353667,0.91389174439805,53.2,49.7,33.7,27.1,31.9,27.1,16.3,18.5,56.8,32.8,74.6,48.7,34.1,71.2,47.8,39.8,8.1,9.8,51.3,46.9,5.4484729402628,2025
Saint Mary's,WCC,34,28,6,62.4,114.35615362235,93.304480457909,0.91210967003189,50.2,46.5,31.1,25,39.9,24.6,14.9,16.3,51.2,32.2,69.5,46.2,31.5,74.5,33.2,31.8,10.6,7.4,56.2,54,4.2784720917675,2025
Clemson,ACC,34,27,7,65.1,117.20018289701,96.004323241169,0.90839034029679,53.4,48.8,28.3,27.8,33.7,30.4,15.8,20,52.2,36.9,76.8,49.5,31.9,68.7,38.8,38,10,8.4,52,43.7,4.7120533602878,2025
Baylor,B12,34,19,15,65.2,121.18514580736,99.811628630607,0.90303404570993,51.1,52,30.5,33.7,36,30.9,15.9,18.6,50.9,34.3,74.8,50.8,35.9,70.5,40.1,41.4,8.2,10.7,52.8,59.6,2.1122559296422,2025
Marquette,BE,34,23,11,68.4,116.66642806546,96.187173494991,0.90201018267794,52,49.9,25.9,30.5,30,31,13.6,21.4,54.7,32.6,72,51.3,31.8,73.2,46.4,39.4,10.7,8.8,49.5,59.9,3.7713209726202,2025
Oregon,B10,35,25,10,68.6,115.99580408996,96.288395390417,0.89485971326758,52.5,48.9,33,27.5,30.5,29.1,16.2,17.5,53.1,34.4,75.7,49.7,31.7,71.8,38.3,37.8,9.9,9,52.9,50.5,5.5832119626298,2025
Connecticut,BE,35,24,11,64.5,121.79408854679,101.27957393949,0.89294108234421,55,48.1,30.8,41,35.5,27.8,17,15.7,57,34.8,79.1,45.8,35,72.9,42.7,34.2,17.5,8.5,63.5,44.2,2.3973719581613,2025
