,LeagueID,SeasonID,TeamID,TeamCity,TeamName,TeamSlug,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Score_80_Plus,Opp_Score_80_Plus,Score_Below_80,Opp_Score_Below_80,TotalPoints,OppTotalPoints,DiffTotalPoints,LeagueGamesBack,PlayoffSeeding,ClinchedPostSeason,NEUTRAL
0,00,22024,1610612760,Oklahoma City,Thunder,thunder,West,35-11,1, - w,Northwest,11-4 ,1,62,12,0.838,1.0,62-12,32-5 ,29-7 ,9-1  ,8-2  ,10-0 ,0-1  ,1-4  ,48-3 ,12,W 12,11,W 11,15,2,4,W 4,11,W 11,9,W 9,0.0,0.0,1,1,1,0,0,0,48-5 ,13-7 ,1-0  ,56-2 ,5-8  ,1-2  ,61-11,43-12,34-10,52-3 ,31-3 ,49-11,120.1,106.9,13.2,27-1,10-0,7-1,10-0,35-11,11-4,11-2,13-5,10-4,11-2,14-1,,,,,,,4-0,11-4,12-1,62-12,62-12,0-0  ,0-0  ,8886,7912,974,0.0,,1,1-0
1,00,22024,1610612739,Cleveland,Cavaliers,cavaliers,East,38-9 ,1, - c,Central,11-2 ,1,60,15,0.8,,60-15,32-5 ,28-10,5-5  ,8-2  ,6-4  ,1-0  ,4-3  ,39-7 ,10,W 10,11,W 11,16,4,2,W 2,-1,L 1,1,W 1,0.0,0.0,0,1,1,0,0,0,48-6 ,9-9  ,3-0  ,52-1 ,8-14 ,0-0  ,60-14,52-15,27-10,48-1 ,39-2 ,32-10,122.3,112.3,10.0,38-9,14-3,11-2,13-4,22-6,9-1,6-3,7-2,10-5,10-1,11-5,,,,,,,5-0,12-3,12-1,60-15,60-15,0-0  ,0-0  ,9175,8424,751,2.5,,1,0-0
2,00,22024,1610612745,Houston,Rockets,rockets,West,28-17,2, - ps,Southwest,13-3 ,1,49,26,0.653,2.0,49-26,27-11,22-14,9-1  ,8-2  ,5-5  ,3-1  ,8-5  ,23-9 ,7,W 7,-8,L 8,9,6,1,W 1,5,W 5,3,W 3,13.5,0.0,0,0,0,0,0,0,37-8 ,12-16,0-2  ,40-7 ,7-19 ,2-0  ,46-18,36-24,20-19,29-3 ,42-14,23-12,114.2,109.1,5.0,21-9,6-4,7-3,8-2,28-17,7-8,8-6,13-3,11-4,5-7,12-4,,,,,,,3-2,11-4,7-5,49-26,49-26,0-0  ,0-0  ,8563,8186,377,13.5,,1,0-1
3,00,22024,1610612738,Boston,Celtics,celtics,East,35-11,2, - a,Atlantic,13-2 ,1,55,19,0.743,,55-19,24-12,31-7 ,9-1  ,8-2  ,9-1  ,3-2  ,7-3  ,37-5 ,7,W 7,8,W 8,8,2,1,W 1,7,W 7,8,W 8,4.5,0.0,0,1,1,0,0,0,45-6 ,7-12 ,3-1  ,50-7 ,4-8  ,1-4  ,55-14,39-19,23-12,38-3 ,36-5 ,36-8 ,116.9,107.8,9.1,35-11,13-2,12-6,10-3,20-8,8-2,6-3,6-3,10-6,8-3,13-1,,,,,,,4-1,12-2,8-6,55-19,54-19,0-0  ,1-0  ,8649,7974,675,7.0,,1,0-0
4,00,22024,1610612743,Denver,Nuggets,nuggets,West,29-17,3, - ps,Northwest,8-7  ,2,47,28,0.627,,47-28,25-12,22-16,5-5  ,6-4  ,5-5  ,5-0  ,8-5  ,30-16,8,W 8,6,W 6,9,3,2,W 2,1,W 1,2,W 2,15.5,15.5,0,0,0,0,0,0,32-4 ,12-20,3-4  ,38-3 ,8-23 ,1-2  ,47-24,42-28,26-20,44-8 ,34-10,17-9 ,120.9,116.7,4.2,18-11,6-4,4-5,8-2,29-17,8-7,12-5,9-5,11-6,10-2,8-7,,,,,,,2-2,8-5,8-6,47-28,47-28,0-0  ,0-0  ,9066,8751,315,15.5,,1,0-0
5,00,22024,1610612752,New York,Knicks,knicks,East,31-14,3, - x,Atlantic,10-3 ,2,47,27,0.635,2.0,47-27,25-12,22-15,6-4  ,7-3  ,5-5  ,6-1  ,7-2  ,28-18,6,W 6,8,W 8,9,3,1,W 1,1,W 1,2,W 2,12.5,8.0,0,0,1,0,0,0,33-9 ,11-18,3-0  ,39-4 ,6-22 ,2-1  ,45-21,34-26,19-19,41-6 ,35-8 ,29-14,116.4,112.1,4.3,31-14,10-3,7-7,14-4,16-13,6-4,3-6,7-3,9-6,7-4,8-7,,,,,,,2-2,9-6,12-2,47-27,47-27,0-0  ,0-0  ,8613,8293,320,15.0,,1,0-0
6,00,22024,1610612747,Los Angeles,Lakers,lakers,West,31-13,4, - ps,Pacific,12-3 ,1,45,29,0.608,,45-29,28-9 ,17-20,5-5  ,8-2  ,4-6  ,1-1  ,4-6  ,18-19,9,W 9,-5,L 5,8,4,-2,L 2,1,W 1,1,W 1,17.0,0.0,0,0,0,0,0,0,39-7 ,6-21 ,0-1  ,41-3 ,4-25 ,0-1  ,45-22,36-28,24-17,37-9 ,27-7 ,24-10,113.2,112.4,0.8,14-16,7-3,2-8,5-5,31-13,10-6,12-3,9-4,9-5,10-2,8-8,,,,,,,3-2,8-6,7-6,45-29,45-29,0-0  ,0-0  ,8375,8319,56,17.0,,1,0-0
7,00,22024,1610612754,Indiana,Pacers,pacers,East,25-21,4, - ps,Central,8-6  ,2,43,31,0.581,,43-31,24-10,18-20,7-3  ,8-2  ,4-6  ,4-1  ,4-2  ,23-16,8,W 8,-8,L 8,6,4,-1,L 1,-1,L 1,-1,L 1,16.5,16.5,0,0,0,0,0,0,31-7 ,9-22 ,3-2  ,35-5 ,7-26 ,1-0  ,43-26,36-29,19-14,34-5 ,23-4 ,27-17,117.2,115.4,1.8,25-21,10-7,8-6,7-8,18-10,4-4,7-2,7-4,10-2,7-5,10-6,,,,,,,2-3,7-8,7-7,43-31,43-31,0-0  ,0-0  ,8670,8538,132,19.0,,1,1-1
8,00,22024,1610612763,Memphis,Grizzlies,grizzlies,West,26-21,5, - ps,Southwest,10-5 ,2,44,30,0.595,,44-30,25-12,19-18,4-6  ,4-6  ,4-6  ,1-0  ,8-6  ,29-13,8,W 8,3,W 3,6,4,-1,L 1,-1,L 1,-2,L 2,18.0,4.5,0,0,0,0,0,0,29-6 ,14-24,1-0  ,36-6 ,7-24 ,1-0  ,44-29,38-30,15-22,39-7 ,31-15,23-9 ,122.2,117.1,5.1,18-9,6-4,5-4,7-1,26-21,9-6,7-10,10-5,9-5,6-5,6-9,,,,,,,3-3,10-4,10-4,44-30,44-30,0-0  ,0-0  ,9043,8665,378,18.0,,1,0-0
9,00,22024,1610612765,Detroit,Pistons,pistons,East,27-21,5, - ps,Central,5-9  ,3,42,33,0.56,,42-33,21-16,21-17,6-4  ,7-3  ,6-4  ,2-2  ,8-6  ,22-15,4,W 4,5,W 5,8,4,3,W 3,-2,L 2,-1,L 1,18.0,18.0,0,0,0,0,0,0,31-5 ,8-27 ,3-1  ,37-5 ,5-28 ,0-0  ,40-27,29-33,15-24,33-6 ,32-12,23-13,115.5,113.1,2.4,27-21,11-5,5-9,11-7,15-12,4-5,5-4,6-3,10-6,9-3,9-6,,,,,,,1-4,8-9,5-5,42-33,42-33,0-0  ,0-0  ,8664,8484,180,20.5,,1,0-0
